Cash Account,Expenditure Account, ,FYTD Appropriated,Prior Yr Enc,FYTD Expendable,FYTD Expended,MTD Expended,Encumbrance,Future Enc,FYTD Unencumbered,% Exp/Enc,Fund,Func,Function One Digit Level,Function Two Digit Level,Object,Object Level,SCC,Subject,Subject Two Digit Level,OPU,Opu One Digit Level,Job,IL
001-0000,001-2829-589-0000-000000-000-00-000,"BUS RADIOS, SUPPLIES",8850.59,0.00,8850.59,3639.00,0,4688.05,0,523.54,94.0846881400,001,2829,2000,2800,589,500,0000,000000,000000,000,000,000,00
001-0000,001-2840-423-0000-000000-000-00-000,VEHICLE REPAIR & MAINTENANCE,145070.99,3300.00,148370.99,59597.55,934.94,87719.26,0,1054.18,99.2894972300,001,2840,2000,2800,423,400,0000,000000,000000,000,000,000,00
001-0000,001-2840-424-0000-000000-000-00-000,VEHICLE INSURANCE,17304.50,0.00,17304.50,7864.00,0,0.00,0,9440.50,45.4448264900,001,2840,2000,2800,424,400,0000,000000,000000,000,000,000,00
001-0000,001-2840-499-0000-000000-000-00-000,BUS CERTIFICATION,1555.00,0.00,1555.00,335.00,0,515.00,0,705.00,54.6623794200,001,2840,2000,2800,499,400,0000,000000,000000,000,000,000,00
001-0000,001-2840-581-0000-000000-000-00-000,BUS SUPPLIES,4875.31,0.00,4875.31,188.11,153.29,10618.29,-584.00,-5931.09,221.6556485600,001,2840,2000,2800,581,500,0000,000000,000000,000,000,000,00
001-0000,001-2840-582-0000-000000-000-00-000,BUS FUEL,101100.00,0.00,101100.00,45284.87,5530.39,55815.13,-2850.31,0.00,100,001,2840,2000,2800,582,500,0000,000000,000000,000,000,000,00
001-0000,001-2840-583-0000-000000-000-00-000,BUS TIRES,11223.76,0.00,11223.76,3913.77,0,4117.52,0,3192.47,71.5561451800,001,2840,2000,2800,583,500,0000,000000,000000,000,000,000,00
001-0000,001-2840-589-0000-000000-000-00-000,BUS DRIVER ABSTRACTS & CDLS,318.00,0.00,318.00,250.00,0,85.00,100.00,-17.00,105.3459119500,001,2840,2000,2800,589,500,0000,000000,000000,000,000,000,00
001-0000,001-2840-650-0000-000000-000-00-000,VEHICLES,15000.00,0.00,15000.00,0,0,0.00,0,15000.00,0,001,2840,2000,2800,650,600,0000,000000,000000,000,000,000,00
001-0000,001-2850-650-0000-000000-000-00-000,VEHICLES OTHER THAN BUSES,199825.00,0.00,199825.00,0,0,0.00,0,199825.00,0,001,2850,2000,2800,650,600,0000,000000,000000,000,000,000,00
